 0       2       0.       0.
 0       0     2212    0.123    0.500    0.800    0.1    0.5    0.2
-1       8       16    0.123    0.500    0.800    0.1    0.5    0.2
 1       3       0.       0.
 0       0     2212    0.123    0.500    0.800    0.1    0.5    0.2
-1       3        6    0.123    0.500    0.800    0.1    0.5    0.2
-1       8       16    0.123    0.500    0.800    0.1    0.5    0.2
 2       4       0.       0.
 0       0     2212    0.123    0.500    0.800    0.1    0.5    0.2
-1       8       16    0.123    0.500    0.800    0.1    0.5    0.2
-1       3        6    0.123    0.500    0.800    0.1    0.5    0.2
-1       4        9    0.123    0.500    0.800    0.1    0.5    0.2
